t,λ1,δ1,λ2,δ2,λ3,δ3,λ4,δ4,λ5,δ5,λ6,δ6,λ7,δ7,λ8,δ8,λ9,δ9,λ10,δ10
0.0,29.468862451231086,33.0,29.468862451231132,33.0,29.468862451231093,33.0,29.468862451230983,33.0,29.468862451231125,33.0,29.468862451231097,33.0,29.468862451231047,33.0,29.468862451231082,33.0,29.468862451231136,33.0,29.46886245123108,33.0
1.0,29.471414209591494,33.0,29.468862451231132,33.0,29.48010320211069,33.0,29.468862451230983,33.0,29.47355036499531,33.0,29.46886245123106,33.0,29.464517075204633,33.0,29.463332974471694,33.0,29.47029378167155,33.0,29.47343181277828,33.0
2.0,29.471414209591494,33.0,29.468862451231132,33.0,29.48010320211069,33.0,29.4852012104388,33.0,29.47355036499531,33.0,29.510544278060884,33.0,29.435666644672267,33.0,29.483466420831324,33.0,29.470323718954756,33.0,29.473540945025878,33.0
3.0,29.471414209591494,33.0,29.474129636715713,33.0,29.48010320211069,33.0,29.489064581429837,33.0,29.47355036499531,33.0,29.499147494660797,33.0,29.4146099004693,33.0,29.474305914608653,33.0,29.450971785993776,33.0,29.454195689190726,33.0
4.0,29.455581827407563,33.0,29.474129636715713,33.0,29.485031536100884,33.0,29.488485808718163,33.0,29.475191363496958,33.0,29.497945729165767,33.0,29.425684043030667,33.0,29.474305914608554,33.0,29.43741442757144,33.0,29.454195689190726,33.0
5.0,29.454599616460936,33.0,29.474129636715713,33.0,29.481380534521435,33.0,29.488485808718163,33.0,29.465146611044254,33.0,29.497945729165703,33.0,29.42925927527646,33.0,29.474101422306383,33.0,29.429847764673926,33.0,29.45290432946003,33.0
6.0,29.465481050288318,33.0,29.474129636715713,33.0,29.481380534521435,33.0,29.507045567877082,33.0,29.465146611044254,33.0,29.498733426393013,33.0,29.445502849782766,33.0,29.48361307408384,33.0,29.420761183541597,33.0,29.4519430141865,33.0
7.0,29.46411384407068,33.0,29.474129636715713,33.0,29.481380534521435,33.0,29.519686566926023,33.0,29.465146611044254,33.0,29.468854444106682,33.0,29.44407675287448,33.0,29.478836266952904,33.0,29.40761790469714,33.0,29.451843711303685,33.0
8.0,29.463439518352807,33.0,29.496661936963715,33.0,29.481380534521435,33.0,29.515938151396107,33.0,29.471087003440903,33.0,29.482206988128524,33.0,29.445846307773998,33.0,29.48468944853927,33.0,29.39695098067899,33.0,29.456891551733147,33.0
9.0,29.46527658570894,33.0,29.49909288558089,33.0,29.467261213253494,33.0,29.515938151396107,33.0,29.471087003440903,33.0,29.482220067741398,33.0,29.437465898590478,33.0,29.484689448539175,33.0,29.406976703997696,33.0,29.456891551733033,33.0
10.0,29.46527658570894,33.0,29.49909288558089,33.0,29.467261213253494,33.0,29.515938151396107,33.0,29.47159760744066,33.0,29.444953836641606,33.0,29.43549691912816,33.0,29.48468944853924,33.0,29.406845230154136,33.0,29.451800370178262,33.0
11.0,29.46527658570894,33.0,29.4973977755258,33.0,29.467261213253494,33.0,29.515938151396107,33.0,29.46992252243933,33.0,29.44495383664162,33.0,29.440639818002246,33.0,29.4805770194226,33.0,29.354951310558146,33.0,29.45974637039064,33.0
12.0,29.457746782803294,33.0,29.4973977755258,33.0,29.467261213253494,33.0,29.515938151396107,33.0,29.455538915168777,33.0,29.444553027236452,33.0,29.43975210560541,33.0,29.45368630084343,33.0,29.320425799946257,33.0,29.412945235543305,33.0
13.0,29.497903983810605,33.0,29.50006041194509,33.0,29.472468529490804,33.0,29.52106090133938,33.0,29.455538915168777,33.0,29.443136782658613,33.0,29.438112894873033,33.0,29.435798813778668,33.0,29.3335411531548,33.0,29.405145941841848,33.0
14.0,29.496486895535863,33.0,29.50006041194509,33.0,29.472468529490804,33.0,29.520362076269237,33.0,29.455538915168777,33.0,29.443092196471294,33.0,29.45323982875105,33.0,29.450195046554956,33.0,29.33011483068509,33.0,29.39961572109033,33.0
15.0,29.496486895535863,33.0,29.50006041194509,33.0,29.47561127303816,33.0,29.522028038135726,33.0,29.501297142761267,33.0,29.43468051053836,33.0,29.45597372945694,33.0,29.44803843090366,33.0,29.325294562618662,33.0,29.385467233296783,33.0
16.0,29.496486895535863,33.0,29.50006041194509,33.0,29.472664980121266,33.0,29.522028038135726,33.0,29.501297142761267,33.0,29.43055126774231,33.0,29.437267501848627,33.0,29.449937131780693,33.0,29.326460456452388,33.0,29.36854789179308,33.0
17.0,29.496486895535863,33.0,29.50006041194509,33.0,29.47267207480518,33.0,29.522028038135726,33.0,29.501297142761267,33.0,29.44467104051113,33.0,29.43656255747455,33.0,29.453237323374957,33.0,29.370429217728226,33.0,29.373374061867118,33.0
18.0,29.49751788926389,33.0,29.500169026252852,33.0,29.47267207480518,33.0,29.522028038135726,33.0,29.50546766480103,33.0,29.437532756809023,33.0,29.437169036122864,33.0,29.45323732337489,33.0,29.378906335109285,33.0,29.37408609241341,33.0
19.0,29.49751788926389,33.0,29.500169026252852,33.0,29.47267207480518,33.0,29.522028038135726,33.0,29.50546766480103,33.0,29.44606652108793,33.0,29.434850423668674,33.0,29.45098271853447,33.0,29.378709918741187,33.0,29.37331300026739,33.0
