t,λ1,δ1,λ2,δ2
0.0,24.4033912603625,25.5,34.50296774003384,35.0
1.0,24.40303902224514,25.5,34.49548469684441,35.0
2.0,24.40127663764373,25.5,34.49831154980416,35.0
3.0,24.400618774335033,25.5,34.496803939992326,35.0
4.0,24.400076761127636,25.5,34.496795498595816,35.0
5.0,24.400728916770934,25.5,34.49849354762794,35.0
6.0,24.400890252582528,25.5,34.4984981808692,35.0
7.0,24.399770754287385,25.5,34.498810846912136,35.0
8.0,24.38336189352785,25.5,34.49879877986781,35.0
9.0,24.383704382901783,25.5,34.49897787866462,35.0
10.0,24.382863836429078,25.5,34.49845211826359,35.0
11.0,24.382853373243186,25.5,34.498319003198546,35.0
12.0,24.383061636810258,25.5,34.498476611797685,35.0
13.0,24.383126485479966,25.5,34.49845158179118,35.0
14.0,24.382763975402273,25.5,34.49817449936942,35.0
15.0,24.382732925263486,25.5,34.49825471717701,35.0
16.0,24.37959252184807,25.5,34.496095767943956,35.0
17.0,24.379229165816696,25.5,34.495959792130954,35.0
18.0,24.379232558965782,25.5,34.49646084299117,35.0
19.0,24.379440399204785,25.5,34.496462958949515,35.0
20.0,24.382533187958202,25.5,34.50812765791691,35.0
21.0,24.382241284301944,25.5,34.51591511606558,35.0
22.0,24.388783916245828,25.5,34.51600108559587,35.0
23.0,24.379258455858288,25.5,34.51598743667768,35.0
24.0,24.379280774823894,25.5,34.515982620820836,35.0
25.0,24.34784038729269,25.5,34.5159105536805,35.0
26.0,24.347979852434282,25.5,34.51589316624045,35.0
27.0,24.333142496832615,25.5,34.515713322757044,35.0
28.0,24.333047460039015,25.5,34.51577996156403,35.0
29.0,24.31533877429787,25.5,34.51582401214687,35.0
30.0,24.31745921635996,25.5,34.515818560179504,35.0
31.0,24.31748433922737,25.5,34.51583566460705,35.0
32.0,24.317434448315964,25.5,34.51602303380385,35.0
33.0,24.317503131403956,25.5,34.514415627468196,35.0
34.0,24.32576796897582,25.5,34.51448113655803,35.0
35.0,24.326145232845576,25.5,34.51446334298821,35.0
36.0,24.32540198362949,25.5,34.51736063556512,35.0
37.0,24.324895458632056,25.5,34.51731230002345,35.0
38.0,24.326148570792625,25.5,34.517296223069486,35.0
39.0,24.324936341629808,25.5,34.51760803281811,35.0
40.0,24.323863694952973,25.5,34.51763219041213,35.0
41.0,24.323116048959427,25.5,34.51753381696026,35.0
42.0,24.321960216757063,25.5,34.516253462732365,35.0
43.0,24.323577302295053,25.5,34.516163181651436,35.0
44.0,24.32364308496666,25.5,34.51615047572783,35.0
45.0,24.316946209410105,25.5,34.51615085188879,35.0
46.0,24.31696338866071,25.5,34.5161142987414,35.0
47.0,24.316989097455316,25.5,34.51673284648071,35.0
48.0,24.31695732146107,25.5,34.51818872948047,35.0
49.0,24.31657927976439,25.5,34.51817494880549,35.0
50.0,24.317070433413697,25.5,34.518446062877715,35.0
51.0,24.318915018124493,25.5,34.50724572286483,35.0
52.0,24.31896245810845,25.5,34.50789194097547,35.0
53.0,24.319909432311327,25.5,34.50785808420084,35.0
54.0,24.31989008588597,25.5,34.507880431063676,35.0
55.0,24.318658535875684,25.5,34.50786134939975,35.0
56.0,24.318014659065017,25.5,34.50763373606582,35.0
57.0,24.318698913812774,25.5,34.507580867319945,35.0
58.0,24.318492941509014,25.5,34.506008054459436,35.0
59.0,24.318579469344925,25.5,34.505618698292594,35.0
60.0,24.317548427253442,25.5,34.50561420051269,35.0
61.0,24.31750212766915,25.5,34.50579053966995,35.0
62.0,24.33213761883703,25.5,34.50571977171281,35.0
63.0,24.33433651381809,25.5,34.505694162094095,35.0
64.0,24.33796832938695,25.5,34.505697111452164,35.0
65.0,24.34819173235967,25.5,34.505431343922446,35.0
66.0,24.34684564947527,25.5,34.5054294394716,35.0
67.0,24.347078591896935,25.5,34.5137275374007,35.0
68.0,24.3471864187093,25.5,34.513994245067316,35.0
69.0,24.34953608585697,25.5,34.513999186501266,35.0
70.0,24.350104608350275,25.5,34.51392824085394,35.0
71.0,24.31848042813143,25.5,34.514070767544666,35.0
72.0,24.319812220211052,25.5,34.514883193046224,35.0
73.0,24.322765057581897,25.5,34.51510187533525,35.0
74.0,24.32525775374015,25.5,34.51560008186262,35.0
75.0,24.326308965429874,25.5,34.514560648979675,35.0
76.0,24.326458501034512,25.5,34.511750767934814,35.0
77.0,24.3272116990113,25.5,34.5120013692903,35.0
78.0,24.322390825848267,25.5,34.51243125934407,35.0
79.0,24.323679738554613,25.5,34.51239242432875,35.0
80.0,24.32094782502054,25.5,34.51242205787418,35.0
81.0,24.32065167133329,25.5,34.512478206773686,35.0
82.0,24.321493778946476,25.5,34.52759890993064,35.0
83.0,24.32189435096879,25.5,34.52802791575924,35.0
84.0,24.321905404772103,25.5,34.52795791315167,35.0
85.0,24.3219872011631,25.5,34.52798819573996,35.0
86.0,24.322061234218253,25.5,34.52783530555466,35.0
87.0,24.33994517542719,25.5,34.52806475917248,35.0
88.0,24.32999055344302,25.5,34.54073901279358,35.0
89.0,24.330021295145794,25.5,34.54073229270432,35.0
90.0,24.32792240777355,25.5,34.54517529165178,35.0
91.0,24.327201523849354,25.5,34.5449634097717,35.0
92.0,24.327734724345227,25.5,34.54499529937569,35.0
93.0,24.32757860592708,25.5,34.54533561183451,35.0
94.0,24.327219493561927,25.5,34.54550480821665,35.0
95.0,24.327124459826223,25.5,34.54549838112955,35.0
96.0,24.318094039592552,25.5,34.54548244370796,35.0
97.0,24.318034891166587,25.5,34.545459671309835,35.0
98.0,24.317901439818264,25.5,34.54552869505362,35.0
99.0,24.317883880665747,25.5,34.545631077856456,35.0
100.0,24.325464136635677,25.5,34.5456164415247,35.0
101.0,24.327570606500746,25.5,34.54561293374186,35.0
102.0,24.327259541495298,25.5,34.54569332696239,35.0
103.0,24.327253979289328,25.5,34.54573236432815,35.0
104.0,24.32719474631954,25.5,34.54492071618232,35.0
105.0,24.32613320827067,25.5,34.54489544314488,35.0
106.0,24.328505205121747,25.5,34.544950940481854,35.0
107.0,24.32833670240895,25.5,34.54626065051321,35.0
108.0,24.329422311097357,25.5,34.54660651068494,35.0
109.0,24.33316688594972,25.5,34.54765169306917,35.0
110.0,24.33311627347072,25.5,34.54765169306917,35.0
