k1,k2,ka,k1_avg,k2_avg,ka_avg,ζ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
5.0,5.0,5.0,5.112400000000001,5.015600000000001,5.064,3.93795559,1.0,0.42744454,0.36785098,2.21330697,0.10380198,0.14357115,0.06287107
5.0,7.0,6.0,5.037599999999999,7.058800000000001,6.0482,3.27912837,1.0,0.39479175,0.69657567,2.902676,0.09391284,0.11141752,0.09510032
5.0,9.0,7.0,5.087999999999999,9.008799999999999,7.048399999999999,2.11225713,1.0,0.44102219,1.27466572,3.62346692,0.11443104,0.37293859,0.08787145
5.0,11.0,8.0,5.0368,11.016399999999999,8.0266,1.08439668,1.0,0.37933038,2.16425842,4.33713367,0.11811571,0.47018071,0.09662987
5.0,13.0,9.0,5.0428,13.051600000000002,9.0472,0.64483027,1.0,0.38171509,3.31417103,5.08988298,0.11650061,0.81772258,0.11159597
5.0,15.0,10.0,5.0904,15.0184,10.0544,0.94964798,1.0,0.44295078,3.30158389,5.8552199,0.0845414,1.03533258,0.09308999
5.0,17.0,11.0,5.144,16.9868,11.0654,0.17576173,1.0,0.44929746,5.67051358,6.6118323,0.09829794,0.53015968,0.1213882
5.0,19.0,12.0,5.099200000000001,18.928000000000004,12.013600000000002,0.11528673,0.7,0.31298536,6.729843,7.35077422,0.07481208,1.04595015,0.09922727
5.0,21.0,13.0,5.0032000000000005,20.9464,12.974799999999998,0.0285215,0.4,0.43277359,7.98089738,8.07114808,0.08744277,1.04496629,0.17452749
5.0,23.0,14.0,5.122800000000001,23.052800000000005,14.087799999999998,-0.03898787,0.1,0.44448315,9.31084664,8.92547024,0.1065129,0.50414962,0.16334731
5.0,25.0,15.0,5.037999999999999,24.9904,15.014199999999999,-0.05925483,0.1,0.4069741,10.57088757,9.60043576,0.11762629,1.83382143,0.37941532
5.0,27.0,16.0,5.057599999999999,26.9868,16.022199999999998,-0.12675184,0.1,0.41992693,12.13195776,10.47982581,0.10938333,1.30787326,0.16506779
5.0,29.0,17.0,5.082799999999999,28.8904,16.9866,-0.1352184,0.1,0.34321355,12.97004003,11.13475282,0.12482355,1.22882004,0.29176381
5.0,31.0,18.0,5.024400000000001,30.832,17.9282,-0.18416011,0.0,0.34839655,14.67485966,11.87680628,0.12184594,1.51943408,0.35524142
5.0,33.0,19.0,5.119999999999999,33.012,19.066,-0.20452463,0.0,0.35393375,16.2326002,12.84369705,0.133327,1.42850335,0.35219133
5.0,35.0,20.0,5.058,34.903600000000004,19.9808,-0.19853533,0.1,0.41564443,17.10107814,13.55918955,0.1134725,1.87116223,0.35560746
5.0,37.0,21.0,4.990399999999999,37.1132,21.0518,-0.25972392,0.0,0.38604251,19.51432497,14.40494706,0.08194334,1.20931837,0.24434534
5.0,39.0,22.0,4.9832,38.9072,21.9452,-0.26893269,0.0,0.39233011,20.78091621,15.16277491,0.09412006,1.07598241,0.28388901
5.0,41.0,23.0,5.093600000000001,41.2436,23.168600000000005,-0.26147311,0.0,0.3793133,21.78012664,16.03537601,0.12545611,1.3954836,0.38079531
5.0,43.0,24.0,5.106399999999999,42.8996,24.003000000000004,-0.28070838,0.0,0.45524137,23.45260365,16.81198002,0.11771696,1.61950066,0.35301399
5.0,45.0,25.0,5.0108,44.8732,24.942,-0.29299776,0.0,0.42829771,24.94611753,17.63357175,0.12349988,0.54192456,0.32603653
5.0,47.0,26.0,5.138799999999999,47.056799999999996,26.0978,-0.28006364,0.0,0.44376738,25.6208556,18.36672916,0.12832805,2.11673365,0.56560029
5.0,49.0,27.0,5.1028,48.98599999999999,27.044400000000003,-0.32646472,0.0,0.42255758,28.97932577,19.4961134,0.10058022,1.15366311,0.31136053
