k1,k2,ka,k1_avg,k2_avg,ka_avg,ζ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
5.0,5.0,5.0,5.0,5.0,5.0,1.06952022,1.0,1.04167246,1.04473282,2.18794432,0.02524114,0.02123154,0.01065865
5.0,7.0,6.0,5.0,7.0,6.0,0.33652827,1.0,1.04106651,2.17293174,2.903752,0.02270902,0.02763142,0.01380551
5.0,9.0,7.0,5.0,9.0,7.0,0.05797626,1.0,1.04254563,3.44264538,3.64162525,0.02464922,0.04663991,0.01339644
5.0,11.0,8.0,5.0,11.0,8.0,-0.08307994,0.0,1.04359001,4.80546586,4.40573404,0.0230917,0.05308557,0.01325838
5.0,13.0,9.0,5.0,13.0,9.0,-0.17082851,0.0,1.04427878,6.24894614,5.18100492,0.02410709,0.06044844,0.01590463
5.0,15.0,10.0,5.0,15.0,10.0,-0.2243963,0.0,1.04267747,7.69945125,5.97137715,0.02426063,0.06258694,0.01817374
5.0,17.0,11.0,5.0,17.0,11.0,-0.26521614,0.0,1.03897534,9.21950736,6.77418026,0.02597378,0.05119077,0.01905665
5.0,19.0,12.0,5.0,19.0,12.0,-0.29569863,0.0,1.04225333,10.76946352,7.58453961,0.02657201,0.08495473,0.02114025
5.0,21.0,13.0,5.0,21.0,13.0,-0.31809306,0.0,1.04409186,12.34064246,8.41487273,0.02076522,0.07802497,0.02218584
5.0,23.0,14.0,5.0,23.0,14.0,-0.33734797,0.0,1.03999902,13.95597502,9.24765192,0.01994572,0.08853122,0.0229356
5.0,25.0,15.0,5.0,25.0,15.0,-0.3529016,0.0,1.03713218,15.57206269,10.07645707,0.02787106,0.07516333,0.02387378
5.0,27.0,16.0,5.0,27.0,16.0,-0.36512207,0.0,1.03979698,17.20275684,10.92131815,0.02893606,0.10159682,0.02082875
5.0,29.0,17.0,5.0,29.0,17.0,-0.37623697,0.0,1.04510657,18.873389,11.77228663,0.0257108,0.08676028,0.0256639
5.0,31.0,18.0,5.0,31.0,18.0,-0.38528227,0.0,1.03977083,20.53854441,12.62517685,0.02214983,0.09551357,0.02607984
5.0,33.0,19.0,5.0,33.0,19.0,-0.39287125,0.0,1.03510192,22.2028093,13.47978031,0.02591698,0.09127068,0.02635214
5.0,35.0,20.0,5.0,35.0,20.0,-0.40020023,0.0,1.04660299,23.92235114,14.34844578,0.02357447,0.09451235,0.02475061
5.0,37.0,21.0,5.0,37.0,21.0,-0.40605587,0.0,1.04261156,25.62073045,15.21703031,0.02172894,0.11919399,0.03181204
5.0,39.0,22.0,5.0,39.0,22.0,-0.41102569,0.0,1.03916943,27.3358195,16.0999355,0.02686049,0.10393808,0.03459775
5.0,41.0,23.0,5.0,41.0,23.0,-0.41551732,0.0,1.03965257,29.03293301,16.96889092,0.02438163,0.14618809,0.03262636
5.0,43.0,24.0,5.0,43.0,24.0,-0.42076002,0.0,1.03930181,30.81546825,17.84943592,0.02546618,0.08631215,0.03086643
5.0,45.0,25.0,5.0,45.0,25.0,-0.42447699,0.0,1.04153073,32.5579165,18.73769686,0.02626164,0.10055041,0.03154021
5.0,47.0,26.0,5.0,47.0,26.0,-0.42806175,0.0,1.04256637,34.30897765,19.6223889,0.02398208,0.13153781,0.02865437
5.0,49.0,27.0,5.0,49.0,27.0,-0.43119867,0.0,1.04312603,36.06640978,20.51442062,0.02298831,0.12425646,0.0337716
5.0,51.0,28.0,5.0,51.0,28.0,-0.43430865,0.0,1.04657231,37.84583438,21.4088984,0.02213097,0.12458652,0.03668486
5.0,53.0,29.0,5.0,53.0,29.0,-0.43658011,0.0,1.04010006,39.57832908,22.2990795,0.02387997,0.11398164,0.03260866
5.0,55.0,30.0,5.0,55.0,30.0,-0.43919683,0.0,1.03849556,41.37633589,23.20377076,0.02272381,0.13912804,0.03124519
5.0,57.0,31.0,5.0,57.0,31.0,-0.44146615,0.0,1.04004205,43.15173914,24.10155895,0.0289237,0.12097317,0.03491935
5.0,59.0,32.0,5.0,59.0,32.0,-0.44326299,0.0,1.04789236,44.91898069,25.00793794,0.02125669,0.11386721,0.03495608
5.0,61.0,33.0,5.0,61.0,33.0,-0.4454771,0.0,1.04022814,46.73142548,25.91350297,0.02353481,0.12469333,0.03788882
