k1,k2,ka,k1_avg,k2_avg,ka_avg,ζ_avg,prob_avg,λ1_avg,λ2_avg,λa_avg,σ_λ1,σ_λ2,σ_λa
5.0,5.0,5.0,5.0,5.0,5.0,0.93160039,1.0,1.04511877,1.04245313,2.04302865,0.01963351,0.02356015,0.02675388
5.0,7.0,6.0,5.0,7.0,6.0,0.25661037,1.0,1.03558336,2.17653929,2.73431612,0.02449664,0.03823202,0.0248025
5.0,9.0,7.0,5.0,9.0,7.0,0.00493737,0.56,1.04027025,3.44274256,3.45924968,0.02317181,0.04142997,0.03384056
5.0,11.0,8.0,5.0,11.0,8.0,-0.1238826,0.0,1.0451667,4.80127144,4.20607597,0.02234793,0.05057697,0.03271896
5.0,13.0,9.0,5.0,13.0,9.0,-0.2021241,0.0,1.0403948,6.22011363,4.96233981,0.02473389,0.06898508,0.03393125
5.0,15.0,10.0,5.0,15.0,10.0,-0.254226,0.0,1.04021839,7.71212291,5.75126707,0.02349012,0.06477497,0.04459698
5.0,17.0,11.0,5.0,17.0,11.0,-0.29019173,0.0,1.04216,9.21314966,6.53926844,0.01932375,0.07306684,0.03681442
5.0,19.0,12.0,5.0,19.0,12.0,-0.31914926,0.0,1.0411269,10.77424541,7.33538657,0.02228951,0.06650014,0.04844115
5.0,21.0,13.0,5.0,21.0,13.0,-0.34007693,0.0,1.03679047,12.35324138,8.15196098,0.02327094,0.0790293,0.04782789
5.0,23.0,14.0,5.0,23.0,14.0,-0.35636889,0.0,1.04101894,13.95346602,8.9806336,0.02593964,0.08663825,0.04174344
5.0,25.0,15.0,5.0,25.0,15.0,-0.37046345,0.0,1.04268843,15.57442766,9.80444097,0.02568301,0.09299608,0.05790986
5.0,27.0,16.0,5.0,27.0,16.0,-0.38156353,0.0,1.03614037,17.21652674,10.64716621,0.03081676,0.09388554,0.0517805
5.0,29.0,17.0,5.0,29.0,17.0,-0.39070702,0.0,1.03627214,18.8690589,11.49659071,0.0229751,0.10889396,0.05785423
5.0,31.0,18.0,5.0,31.0,18.0,-0.39936162,0.0,1.03887627,20.53606503,12.33459522,0.02822708,0.10500716,0.04961166
5.0,33.0,19.0,5.0,33.0,19.0,-0.40661245,0.0,1.03964486,22.23769812,13.19544846,0.02599736,0.10790735,0.06657666
5.0,35.0,20.0,5.0,35.0,20.0,-0.41270029,0.0,1.03734738,23.92626488,14.05172434,0.02265516,0.11519827,0.05771835
5.0,37.0,21.0,5.0,37.0,21.0,-0.41802976,0.0,1.03938836,25.6293245,14.91536076,0.02426966,0.11633177,0.0620023
5.0,39.0,22.0,5.0,39.0,22.0,-0.42258474,0.0,1.03813117,27.33054274,15.78087025,0.02501169,0.1245858,0.04926929
5.0,41.0,23.0,5.0,41.0,23.0,-0.42754783,0.0,1.03877894,29.05838718,16.63435829,0.02286526,0.12271024,0.05909079
5.0,43.0,24.0,5.0,43.0,24.0,-0.43136864,0.0,1.03937902,30.79872309,17.51300163,0.019711,0.11339213,0.05855397
5.0,45.0,25.0,5.0,45.0,25.0,-0.43461811,0.0,1.04237603,32.55954572,18.40845042,0.01836953,0.13881364,0.06966487
5.0,47.0,26.0,5.0,47.0,26.0,-0.43775879,0.0,1.04104812,34.28435861,19.27599124,0.02411219,0.12121144,0.07201426
5.0,49.0,27.0,5.0,49.0,27.0,-0.44070632,0.0,1.04249043,36.04172934,20.1577641,0.02163337,0.14617961,0.06592666
5.0,51.0,28.0,5.0,51.0,28.0,-0.44263045,0.0,1.03553487,37.75052445,21.04087524,0.02247902,0.16594067,0.08316832
5.0,53.0,29.0,5.0,53.0,29.0,-0.44538141,0.0,1.04497105,39.57848723,21.95091987,0.02491471,0.13073165,0.07072781
5.0,55.0,30.0,5.0,55.0,30.0,-0.44753303,0.0,1.04124923,41.35795902,22.84881604,0.02196067,0.13512507,0.07157095
5.0,57.0,31.0,5.0,57.0,31.0,-0.44947199,0.0,1.03908557,43.11642155,23.73674651,0.02405207,0.11357372,0.06734833
5.0,59.0,32.0,5.0,59.0,32.0,-0.45143228,0.0,1.04721451,44.90917488,24.63564754,0.02328422,0.13908903,0.07667838
5.0,61.0,33.0,5.0,61.0,33.0,-0.45360919,0.0,1.04636814,46.77561823,25.55770388,0.0183331,0.13240594,0.07260485
5.0,63.0,34.0,5.0,63.0,34.0,-0.45498061,0.0,1.03886376,48.54360022,26.45712975,0.02269762,0.15247085,0.07463602
5.0,65.0,35.0,5.0,65.0,35.0,-0.4567738,0.0,1.04138013,50.35197692,27.35244458,0.02305307,0.13529476,0.07546467
5.0,67.0,36.0,5.0,67.0,36.0,-0.45802683,0.0,1.0433242,52.13540309,28.25590371,0.02365673,0.16239129,0.07759577
5.0,69.0,37.0,5.0,69.0,37.0,-0.45940369,0.0,1.04608869,53.95217236,29.16627765,0.02261151,0.11977027,0.06307703
5.0,71.0,38.0,5.0,71.0,38.0,-0.46064379,0.0,1.03660067,55.75477726,30.07160063,0.02451481,0.16215794,0.07489188
5.0,73.0,39.0,5.0,73.0,39.0,-0.46187942,0.0,1.04281082,57.62576317,31.00953399,0.02540069,0.1617654,0.08717438
5.0,75.0,40.0,5.0,75.0,40.0,-0.46300328,0.0,1.03913524,59.38124592,31.88745208,0.02229136,0.14248961,0.07307867
5.0,77.0,41.0,5.0,77.0,41.0,-0.46401779,0.0,1.039876,61.23336792,32.81992051,0.02339805,0.16847893,0.0825735
5.0,79.0,42.0,5.0,79.0,42.0,-0.46499852,0.0,1.04443891,63.09400758,33.75530287,0.02328543,0.16770623,0.08510918
5.0,81.0,43.0,5.0,81.0,43.0,-0.46608786,0.0,1.04221175,64.94642535,34.67561396,0.02733938,0.16560163,0.07828487
5.0,83.0,44.0,5.0,83.0,44.0,-0.46682146,0.0,1.04410539,66.77896839,35.60507513,0.02763279,0.13869962,0.07940997
5.0,85.0,45.0,5.0,85.0,45.0,-0.46755796,0.0,1.03689899,68.62568625,36.53911077,0.02294771,0.14335214,0.07064219
